Age . Location,Bio,Agree,Disagree,Find Out,Ques_Ans,Label
27 • Mumbai,"Bossy 😈.
Moodie😏.
Dommie 😉.
Swings between 🇮🇳~🇬🇧.
Business woman 💸 financially stable to fullfill your all need 😏.
Rough enough to take your breath and Cute enough to bring back your breath 😉!

I'm here for LGBT 🏳️‍🌈😉
they call me sugar momie or ma'am ( choose one 😈)
Subs are my favourite snakcs !
If you are Dominant girl and still wanna connect then msg me by saying “hey bro” I will add you in my groups
over my social media handle after verification !
( Insta , telegram , Facebook) .there you will find many subs for you !

Without verification I won't entertain any kid over here !",8,10,2,20,Ok
28 • Delhi,"Wanna join me

(Nine eight nine three eight one three four
Five one) 📞📞📞📞",5,10,0,15,Fake
21 • Brahmapur,"Devil of my own world.....
Just a nrml girl who loves black more than pink....
Loves to watch cartoons...",26,16,4,46,Ok
26 • Chennai,Let’s chat,8,7,0,15,Fake
26 • Hyderābād,Hello 👋 👋 👋👋 👋👋 👋👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋,9,15,3,27,Ok
19 • Vellore,"PASS MY VIBE CHECK - that’s important
living a 99% fucked life",5,13,2,20,Ok
22 • Guntūr,hii,4,11,0,15,Fake
26 • Hyderābād,"Medico here!!
Try to explore new things..
Wanna know abt me?",9,6,0,15,Ok
21 • Damān,"Dog lover, introvert 👀",7,8,0,15,Ok
25 • Chennai,ig@ mitali_7173,6,9,0,15,Fake
"19 • Kurunegala, Sri Lanka",Hey im senali,6,5,2,13,Fake
25 • Vijayawāda,"I m not here for hookups, friends with benefits, adult chats and no meetings just to make new friends nd normal chats",6,9,0,15,Ok
22 • Hyderābād,"my WhatsApp number 8769159441
and online pad service but real meet sex",6,10,0,16,Fake
23 • Guntūr,"I'm stubborn but kind at heart like Nairobi 🙂🙂
No sugar coated bull shit
Nature and songs lover
Extrovert
Open minded and straight forwarded person
Have watched recently Spartacus, Elite
,Roswell New Mexico
Currently The big bang theory which is freaking awesome
Not here to have a relationship so don't waste your time 🙂🙂
Here to have good conversations that's all for today bye bye 👋...",15,9,3,27,Ok
22 • Indore,"Instagrm @drishanutt
Love everyone ☺",5,10,0,15,Low Info
19 • Mumbai,"Coffee And Mascara 🖤
Ambivert
Send Intros Can't See Likes",10,7,3,20,Ok
"24 • Kandy, Sri Lanka",I am single.🎧free life🥳🥰,7,4,3,14,Ok
23 • Bengaluru,"the world is free will, i am open minded and ready to mingle with a benefit, knowing me Will make a dream come true, love clubbing, indoor fun will be much preferable",7,7,0,14,Fake
24 • Hyderābād,l like chatting and friendship contact my whatsapp number +919861304254,3,12,0,15,Fake
21 • Hyderābād,if u interested in real meet then whtsapl me 9462831779,3,12,0,15,Fake
21 • Hyderābād,Video chat my WhatsApp message 8764387922,6,9,0,15,Fake
23 • Pune,"Outgoing, Loves to party, Unpredictable.",6,11,2,19,Ok
23 • Hyderābād,im tecnichan,5,10,1,16,Fake
25 • Gopanpalli,"Fun to be with
Love travelling and meeting new people
Learning new culture
Having fun is my key don’t get me wrong on that we live once so let enjoy it while we can………
You get to know me better when we talk you know I just prefer get to know me yourself that better

You know let chat and real conversation outdoors maybe 🤔",85,31,110,226,Ok
22 • Hyderābād,ntng much,8,7,0,15,Fake
25 • Ghāziābād,hi,7,8,0,15,Fake
21 • Mumbai,"I am ambitious and driven. ...
I'm least active here so you can get in touch on snapchat @hindziyaee",65,50,29,144,Ok
20 • Hyderābād,Little angel ready to fly around the world,5,10,0,15,Ok
23 • Hyderābād,love urself,6,9,0,15,Ok
27 • Delhi,"Looking to meet new people, make friends and share experiences.
Adventurous, spontaneous and always up for a laugh!
Im a pretty chill and easy going person.
Work as a graphic designer.
Love spicy food, alcohol, Harry Potter, Friends and UFC!",21,6,2,29,Ok
24 • Mumbai,"I’m no longer dating.

If you’re interested in me, i need a 500 word essay on how you’ll not waste my time.

Thank you",17,6,2,25,Ok
26 • Hyderābād,Dr Chai......🩺👩‍⚕️⚕,6,9,0,15,Low Info
21 • Hyderābād,"Into investing. Need someone who knows talks, stocks and crypto",18,16,5,39,Ok
25 • Hyderābād,want to make new friends,5,11,0,16,Low Info
28 • Hyderābād,"New over here. Looking to make new friends, and if I find the right guy, maybe a long term relationship as well !",23,12,4,39,Ok
23 • Hyderābād,hy I'm Krishna Reddy if you want to join me than text me my WhatsApp number 9462612817,5,10,0,15,Fake
20 • Hyderābād,,4,11,0,15,Low Info
22 • Bengaluru,"I m not slim but I m perfect in my way😉
I m not beautiful but I luv myself😍
I luv to be like kid 😂
I m not a princess but I can cook luvly food for my prince charming....❤️
I don't need a bf I need a soulmate who will be forever with me
But I m d most talkative girl....🙈
Atlast
I m a simple girl with a simple heart ❤️",12,9,0,21,Ok
24 • Bhubaneshwar,,3,12,0,15,Fake
20 • Hyderābād,trustworthy .....loyalty,7,8,0,15,Ok
26 • Hyderābād,If you don't believe in love.... Don't connect with me,7,9,46,62,Ok
26 • New Delhi,Evolving... Bad at expressing myself..,6,9,0,15,Ok
25 • Hyderābād,"Commercial african escort, service for full nyt, few hours,No advance,No fake pic",5,10,0,15,Fake
19 • Amrāvati,❤️,13,7,0,20,Low Info
27 • Kolkata,"Life goes on , with or without you✌️Revenge? Nah, I’m too lazy I’m going to sit here and let Karma f*** you up. Try me , u won't regret😎",67,24,41,132,Ok
23 • Mumbai,"Engaged
Looking to explore last few months of bachelorhood…
Luxury,money and confidence is what i m looking for",7,8,0,15,Ok
27 • Kothaguda,Looking forward to meet some couples,11,4,0,15,Ok
24 • Ghāziābād,Hi,2,13,0,15,Low Info
27 • Hyderābād,"Trust,Caring, peace✌️",3,12,0,15,Ok
27 • Shakūrpur,IG - sakshigotnochill,10,10,3,23,Low Info
26 • Vāranāsi,I love myself.🙂,43,18,1,62,Ok
27 • Pune,Certified makeup artist,5,10,0,15,Ok
26 • Hyderābād,singer,4,11,0,15,Low Info
24 • Jaipur,Don't know what to write but I'll not give my any kind of personal details ....,8,7,1,16,Ok
27 • Hyderābād,Mumbaikar in Hyderabad #tealover #techie #nerd #doglover #leftist #happysoul,8,7,0,15,Ok
25 • Hyderābād,"Sensitive introvert looking for some good friendship

Don't go by my looks. I look diff in pics.",77,37,147,261,Ok
22 • Kurnool,"I don't think these little sentences would define a person
Btw I'm foodie and fan of F.R.I.E.N.D.S
Medico'",17,7,17,41,Ok
27 • Hyderābād,honey,3,12,0,15,Fake
22 • Hyderābād,iam srivalli,5,9,1,15,Low Info
20 • Hyderābād,"Self- obsessed 🖤
🪄Insta : akshara_.reddy_",65,38,24,127,Ok
23 • New Delhi,"Well, here's someone terribly complicated",14,13,1,28,Ok
22 • Hyderābād,Lets know,6,9,0,15,Low Info
25 • Hyderābād,My Name is Rishika Arora than my nick name Isha and I am interested to short time dating so you are interested with me to come my whatsapp 9339681573.,5,10,0,15,Ok
25 • Bengaluru,Hi...,6,9,0,15,Low Info
22 • Mumbai,I dont know what to say just swipe me if u r seriously looking for long term things or else move on. Will save urs and my time. Cheers,9,6,0,15,Ok
23 • Hyderābād,"🍪Half cookie - half cyborg 🤖

INFJ-T ✨",11,12,3,26,Ok
22 • Hyderābād,WhatsApp reply.9166178728,4,11,0,15,Fake
27 • Hyderābād,Take a chill pill,8,7,0,15,Low Info
28 • Hyderābād,"I like to travel and read books.
Looking for a relationship. Let's start with a meaningful conversation...",8,7,0,15,Ok
26 • Lordi,Love her but leave her wild.,3,5,0,8,Low Info
22 • Hyderābād,"HYYY GUYS I'M SHREYA FROM HYDERABAD I'M 21 YEARS OLD
I'M LOOKING HERE FRIENDS
DATING
IF U INTRESTED ME SO U MSG ME ON MY WHATSAPP NUMBER 9376814740",3,12,0,15,Fake
22 • Kaithaiāpur,"Hey….looking for nice caring guy
Let’s chill up together
Have a great time trust and promise is the only thing that make 2
People more
Closer i believe in trust and promise
Never hurt those with me
We’ll be genuine hiding nothing within us
M ready to explore this world with u
R u ????? ????
Chalo let’s start it🤞🏻🤞🏻🤞🏻",46,36,15,97,Ok
21 • Hyderābād,no about,7,8,0,15,Fake
22 • Hyderābād,Ambivert. Binge watching. Midnight walks❤. Long rides & road trips. Cats & dogs❤,21,9,3,33,Ok
27 • Hyderābād,Love 💕 is Life,7,8,0,15,Low Info
24 • Hyderābād,looking for interesting,8,7,0,15,Fake
28 • Chennai,"profession by dentist, music lover,love to put smile on my face in all situations
Really at good at being kind to ppl around
Love listening to music in a lone peaceful place
The first thing ppl notice about me
You tell me.what was the first thing you notice
Looking for something serious, long term",24,12,8,44,Ok
23 • Hyderābād,"Am straight forward and honest, when I feel it hurt. I'm looking for equally positive patner who loves to travel and open commincater..",7,8,0,15,Ok
22 • Hyderābād,I'm a traveller would you like to join like my partner 💫,12,12,2,26,Ok
26 • Hyderābād,,30,36,1,67,Ok
26 • Chennai,"Straightforward 🤷🏼‍♀️
Awaiting divorce 😊
Homely ☺️
Committed person😃
P.S.not here for no strings attached or for ONS and also that’s not my real pic 🙂 will share it once we get to know each other🙏🏼",18,11,4,33,Ok
21 • Hyderābād,"funny, sarcastic and sweet!",10,9,3,22,Ok
25 • Hyderābād,my WhatsApp number 7851062951,3,12,0,15,Fake
25 • Hyderābād,I have a job and I prefer having healthy lifestyle. I am a dog lover. I am looking for someone who can hold a conversation and has a good sense of humour.,9,9,0,18,Ok
21 • Hyderābād,"Baby face w anger issues
pronouns who/where
outdoor simp",5,10,0,15,Ok
21 • Hyderābād,"Hello folks!
I am the hero of my own story and the princess of my own little world!",6,10,1,17,Ok
27 • Hyderābād,I love myself,8,7,0,15,Low Info
21 • Hyderābād,Socially awkward 🦦🐚,37,14,4,55,Ok
23 • Hyderābād,"нєуαα gυуѕ 💋💋
9554379981 ριиg мє σи ѕѕααρ 💋💋",2,13,0,15,Fake
26 • Mumbai,"Here for banter and kill boredom. Let's converse, share stories, anything and everything. Not averse to dating, meet ups but that ain't my primary driver, so not entirely inclined.

INFP-T

Don't swipe if you're gonna say you're good at calls rather than texts, much more funny in real than over here and prefer to not waste time over texts.",15,11,89,115,Ok
28 • Hyderābād,,85,21,143,249,Ok
22 • Hyderābād,hi my WhatsApp number 8926387001 friendship ke liye WhatsApp per message karo,3,12,0,15,Fake
26 • Hyderābād,"I m fun nd outgoing person.
.
Ping me only if u can buy me an iPhone",12,7,3,22,Ok
21 • Hyderābād,"NE guy here
Have long hair, I do pencil and digital arts",9,6,0,15,Ok
21 • Hyderābād,hi come to my WhatsApp number 8895426871,3,12,0,15,Fake
24 • Hyderābād,....,9,4,2,15,Fake
23 • Hyderābād,"Hello! I'm lahari, introvert and looking for a good company. All i seek is a good conversation and a peaceful dinner date.",9,6,0,15,Ok
23 • Hyderābād,"wh,a,tsa,pp me 88,24,,09,,93,,60",3,7,5,15,Fake
25 • Hyderābād,Love travelling,6,9,0,15,Low Info
22 • Hyderābād,reply WhatsApp number 7375050144,4,11,0,15,Fake
23 • Hyderābād,My whatsapp number 7704918740 msg me full masti full enjoy,6,9,0,15,Fake
21 • Hyderābād,I am friendly person,5,7,3,15,Low Info
24 • Hyderābād,..,4,11,0,15,Low Info
20 • Hyderābād,am call girl service,3,12,0,15,Fake
24 • Hyderābād,I am simple girl,5,10,1,16,Low Info
22 • Hyderābād,hey I am single new friendship and dating mating my WhatsApp number is 7602777688 come on my WhatsApp message yaar only WhatsApp,3,12,0,15,Fake
26 • Hyderābād,Nothing,11,5,4,20,Low Info
23 • Hyderābād,......,4,11,0,15,Fake
26 • Hyderābād,None,3,11,1,15,Fake
21 • Hyderābād,i am paid girl my whatsApp num. 8290654926,3,12,0,15,Fake
22 • Hyderābād,am a good girl happy very calm I like to enjoy upto the fullest,4,10,1,15,Ok
22 • Hyderābād,?,6,9,0,15,Fake
24 • Hyderābād,"People-oriented, outgoing and lively!",10,5,0,15,Ok
22 • Hyderābād,whatsapp me +91 93909 71882,26,20,4,50,Fake
24 • Hyderābād,"Hey thanks for scrolling down further!

INTJ

Am ambivert,optimistic,intuitive and spiritual.
Sunsets and walks
Lovescooking,gardening,photography(astrophotography and landscape)filmmaking and painting.
Loves to explore and be more artistic
Lives for music
Living in the moment
Complicated, but empathetic
Loves long ,real conversations
A bit overthinker too
Believes in energies,vibing.

Came here to know people's perspectives
Looking for virtual friends only",10,12,0,22,Ok
21 • Hyderābād,Love,11,11,31,53,Ok
27 • Hyderābād,"hey...
say your story.... listening",9,8,1,18,Ok
24 • Hyderābād,.,9,6,0,15,Fake
25 • Hyderābād,Cool and fun loving,17,16,3,36,Ok
22 • Hyderābād,Dandelion,6,9,1,16,Low Info
23 • Bālāpur,Fun paid Available,3,12,0,15,Fake
25 • Secunderābād,"can uu connect with me bcoz i m😚 lonely ...and i m newly come here 🤗😚😙
(88)...seven four....(858).... three three zero📲
connect with me bae🤗",4,11,0,15,Fake
23 • Secunderābād,WhatsApp- 8058784893 like being adventurous 😋,6,9,0,15,Fake
24 • Kaithaiāpur,cute and beautiful,6,9,0,15,Low Info
27 • Gurgaon,Idiot,27,26,1,54,Ok
25 • Cuddapah,Let them wonder about u,7,11,0,18,Ok
26 • Nellore,Darling! I'm a nightmare dress like a day dream,33,12,15,60,Ok
24 • Belagavi,"I’m friendly, caring, overthink 😂love traveling",30,41,5,76,Ok
23 • Similigurha,blah..blah..blah..!!,7,8,0,15,Low Info
22 • Yesvantpur,"Old school
I don't use my phone much",58,55,89,202,Ok
25 • Bengaluru,Texts>calls,9,10,3,22,Ok
28 • Bengaluru,"I haven’t bought the paid version, so cant see who likes me. So just drop a message? Thanks

If we vibe, we’ll have an amazing time! If not, i am a good friend",11,9,4,24,Ok
28 • Bengaluru,"a motivated driven individual with big dreams.
Love writing poems and secret trade is drawing difficult word in pictionary",13,7,1,21,Ok
24 • Bengaluru,"Helloo....so why I am here..not sure but hope to find a real genuine people or 'THE ONE'😁 I am NOT looking for hookups, FWB or Sex chatting 🤷 so don't waste ur time looking at my profile

#Christmaholic (it would be great fun if I find people who are Christmaholic too just like meee😅)
#talktive only if I am comfortable #Adventurous
#traveller
#Animal lover.",24,13,5,42,Ok
26 • Bengaluru,Insta: Roonamusicofficial,10,5,0,15,Low Info
27 • Bengaluru,NA,4,6,2,12,Low Info
25 • Bengaluru,"Someone who enjoys puns and is open to exploring music, and maybe with a few alliterations with coffee on the side.
If you've watched Bungou Stray Dogs, consider having earned some brownie points.
Travel, culture, books and langauge exchange happen to be my passion.
Always up for a philosophical conversation.

""Tell Megatron, Let's tango""",7,9,4,20,Ok
25 • Bengaluru,Tujhse dur jane ka koi irada na tha...par rukte aakhir kaise jab tu hamari na tha,9,6,0,15,Ok
27 • Bengaluru,Innocence mixed with fun,26,9,19,54,Ok
25 • Bengaluru,In love with travelling 💚,9,6,0,15,Ok
23 • Bengaluru,"Ambivert 😁
Philozoic | Zoophilist 😺
Melophile 🎼
Movie buff 🤩
Eco-nut 💚",56,13,11,80,Ok
25 • Bengaluru,Simple.. And strict,10,8,1,19,Ok
20 • Guwāhāti,"An amazing book, a cup of coffee and a cosy corner can make my day.
I'd prefer hand written letters over expensive gifts.
More into ""lag Jaa gale"" than ""char bottle vodka"".
Prefer foodgasm over orgasm.

Not so active here ig @the_dusky_divine.
Fell free to bing me",30,5,46,81,Ok
27 • Delhi,chrming,6,9,0,15,Low Info
23 • Hyderābād,.,6,9,0,15,Low Info
24 • Hyderābād,I am looking for a boyfriend through this app in front of whom i can share my full personality and i can fall in love with him,5,10,0,15,Ok
27 • Chinchvad,"I can't see ur likes so pls msg me directly...... M not sure what I am looking for so don't ask the same....But definitely not here for hookups and time pass.....Let's be friends first and see where it goes and who are looking for hookups, flings, friends with benefits type of things please stay away😾",20,4,1,25,Ok
26 • Hyderābād,Just here for casual talks,10,6,34,50,Ok
26 • Hyderābād,hiii,3,12,0,15,Low Info
27 • Hyderābād,"loyal and matured behavior, not for love and all",10,5,0,15,Low Info
23 • Karīmnagar,You can WhtsApp ND tlgram me. N.i.n.e.....o.n.e.....s.i.x.....s.i.x.....z.i.r.o.....f.o.u.r.....f.o.u.r.....s.i.x.....s.e.v.e.n.....f.i.v.e...,6,9,0,15,Fake
22 • Hyderābād,Bazingaa!,8,7,0,15,Ok
27 • Hyderābād,Why tattoo and smoke makes a woman looks bad? I didn't even kill anyone jk🥸,5,5,2,12,Ok
23 • Surāmpalli,Iam sanju i want truee friendship,5,10,0,15,Fake
23 • Gurgaon,"Hello,
IIM,dog & chai lover❤️",4,11,0,15,Ok
26 • Hyderābād,i knw wt iam after that desided for yours,6,8,1,15,Ok
26 • Pune,"ꜱᴏʟᴏ ᴛʀᴀᴠᴇʟʟᴇʀ, ʟᴏᴠᴇ ᴛᴏ ʀᴏᴀᴍ ᴀʀᴏᴜɴᴅ ɪɴ ᴍᴏᴜɴᴛᴀɪɴꜱ , ɴᴇᴛꜰʟɪx ꜰᴏʀ ʟɪꜰᴇ
77•97 |•×•| ᴛʜʀᴇᴇ ᴇɪɢʜᴛ ꜱᴇᴠᴇɴ ꜱɪx |•×•| 71",4,11,0,15,Fake
26 • Hyderābād,"love traveling, watching movies, shopping,",6,9,0,15,Ok
24 • Hyderābād,Looking for s👻,8,7,0,15,Fake
26 • Hyderābād,"I think my best friend would describe me as honest, detailed, and very organized."" ""I think my best friend would say that I'm very responsible.",6,12,0,18,Ok
25 • Chennai,"An introverted lefty navigating my way through a right-handed world.
I love to read, write, play badminton, and engage in deep conversations.",11,6,0,17,Ok
24 • Hyderābād,"🚨❌❌ DO NOT MESSAGE OR REPLY ME IF DISTANCE IS A BARRIER FOR YOU ❌❌

✅ African currently in INDIA 🇮🇳

I’m Real 💯
All in for honesty

❌❌Don’t expect me to reply back when u literally got fake photo or even a covered photo 🤦‍♀️❌❌

One thing I can assure you is that you gonna like me if only I want you to 🙄

Open minded and outspoken, lover of peaceful coexistence ✌🏽

I love ❤️ shopping 🛍 watching movie 🍿 🎥 and dispensing medication 💊 which is why I’m studying to be a Pharmacist 👩‍⚕️ a good 😊 one at that ……..",67,42,23,132,Ok
20 • Hyderābād,I am an introvert person but i ll give the best company in talking and I am medical student,10,10,3,23,Ok
23 • Pune,"Subject #42:

Chemistry - Taylor Swift - Sherlock Holmes - Christopher Nolan - science fiction - classical music - jazz - progressive rock - poetry - art - film fangirl. Friendly recluse. Scared of loud noises. Likes dark chocolate, funny poetry/ books, taking walks across campus (not in the summer though), secularism, feminism, and making absurd connections between far-off subjects.

Also, my network connection sucks so might not reply immediately. Please don't intro pickup lines, they ain't original anymore. On here only to find friends right now, so looking for some interesting conversation. May the Force be with you. People who double-space after full stops are the real MVPs.

I really don't know what I'm doing here because Pune is under lockdown anyway.",62,15,250,327,Ok
24 • Hyderābād,"Get that Chota Parle-G ka Packet, when we go out for chai😅✌",7,8,0,15,Ok
22 • Delhi,"Unpredictable
Moody
Udaipur 🔁 Delhi",7,8,0,15,Ok
22 • Dārjiling,Too lazy for providing a short summary lmao.,8,7,0,15,Ok
26 • Delhi,.,7,9,0,16,Low Info
26 • Hyderābād,"I m newly here need someone🥰
(91)....seven one....(036)....(984)📲",4,11,0,15,Fake
22 • Hyderābād,"in need of attention and maybe some love....just a teeny tiny bit ;_;

okc wants 50 words so here's more about me — introvert / animes / k-dramas / books / genshin / ISFP-T / cancer sign.

languages — english, हिन्दी, मराठी, 한국어 and learning 中文.

friends, language exchange partner, genshin co-op buddy......anythings fine! (would prefer a bf tho uwu)
can't see all likes/intros
feel free to message on my ig @imcalledpriya",16,9,5,30,Ok
28 • Mumbai,Crazy marathi mulgi 😉,20,12,1,33,Ok
27 • Hyderābād,I am looking for a guy who is jovel and broad minded like me. No hook ups please. Friendly n understanding guy with whom I can spend quality time. Hanging out to new places trying new dishes.,19,15,3,37,Ok
26 • Pune,"Khud ki tarif kya hi karu but here it goes 😆
I’m an ambivert, I love to read books I enjoy talking over tea or beer 🍺 I like long drives, being sarcastic and leg pulling so don’t get offended. I like honest communication, let’s face it we’re not teenagers😄😜hai na",16,10,3,29,Ok
21 • Hyderābād,I'm an introvert,5,10,0,15,Ok
22 • Hyderābād,"Love to travel, explore.",8,8,0,16,Ok
23 • Hyderābād,"peaceful,chill,ambitious,",1,14,0,15,Ok
21 • Hyderābād,Heylo,10,5,0,15,Low Info
24 • Hyderābād,I'm a simple girl looking for new friends,15,13,3,31,Ok
19 • Hyderābād,I’m kind of a big deal.,8,7,0,15,Ok
24 • Shiliguri,The song 24 by Sundial pretty much sums up my life rn 🥲,52,28,92,172,Ok
23 • Hyderābād,"#Bless me on April 10th
#Hyderabadi
#Pure vegitarian(Brahmin girl)
#Searching for the real one❤️
#My insta id: _miss_ruthless_",6,9,0,15,Ok
19 • Hyderābād,hi,4,11,0,15,Low Info
23 • Amrāvati,"Hello, I'm an introvert.
Clinical Psychology student.
I work with animal rescue.
A cultured weeb( Anime is what I talk about most of the time).
Loves reading.
Kdramas person.
True crime documentary lover.",8,7,0,15,Ok
19 • Hyderābād,Hi! I am leela Purna..,4,11,0,15,Low Info
21 • Hyderābād,Hey,6,9,0,15,Low Info
20 • Hyderābād,.,9,6,0,15,Low Info
23 • Hyderābād,A defence scientist currently researching on love 😅,9,4,2,15,Ok
28 • Hyderābād,"looking for a good looking men. of course iam a beautiful girl.., you can know me after chatting with me",9,6,0,15,Ok
20 • Nāgpur,what's in bio..this 2-3 compliments by urself to urself cant define you.i.e dont be soo quick to judge bcoz result always comes late😜 .so lets take a move towards exam centre😉 #itsbigbraintime...,25,25,3,53,Ok
27 • Bengaluru,"6 feet

Instagram : _real_rithu

Prefer near by folks for a talk",13,12,3,28,Ok
22 • Guntūr,am an extrovert and a easy going girl with 22 yrs,5,10,0,15,Ok
25 • Kolhāpur,Librain....doc by profession ......not much into music movies etc ( I do watch thm....and also tend to forget thm 🤪),82,31,81,194,Ok
19 • Khammam,iam sweety,3,12,0,15,Fake
25 • Solāpur,"I'm a physiotherapist , running my own clinic. I'm supper excited person for the work I love to do like travelling , sports activity , and planning is my passion in case of outings and road trips. I'm the youngest one in my family and preferred to get treated same in future too. I'm like two opposite poles where I get too excited or too emotional . I'm Maheshwari Marwari and looking for the same cast .",10,10,2,22,Ok
